,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,prediction_6,prediction_7,prediction_8,prediction_9,prediction_10,prediction_11,prediction_12,prediction_13,prediction_14,prediction_15,prediction_16,prediction_17,prediction_18,prediction_19,prediction_20,prediction_21,prediction_22,prediction_23,prediction_24,prediction_25,prediction_26,prediction_27,prediction_28,prediction_29,prediction_30,prediction_31,prediction_32,prediction_33,prediction_34,prediction_35,prediction_36,prediction_37,prediction_38,prediction_39,prediction_40,prediction_41,prediction_42,prediction_43,prediction_44,prediction_45,prediction_46,prediction_47,prediction_48,prediction_49
111,2012-12-04,26.5,26.3700008392334,-0.32952308654785156,26.999523,1,1,1,0,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,2,1
112,2012-12-05,26.3799991607666,26.670000076293945,-0.1881885528564453,26.918188,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,0,2,2,0,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1
113,2012-12-06,26.809999465942383,26.729999542236328,-0.36214256286621094,26.822142,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,0,2,1
114,2012-12-07,26.81999969482422,26.459999084472656,0.034656524658203125,26.905344,1,2,1,2,2,2,2,2,1,1,0,1,1,2,0,2,2,2,2,2,2,2,1,0,0,1,2,1,0,1,2,1,1,1,1,2,2,1,1,1,1,0,0,2,2,1,2,2,2,2
115,2012-12-10,26.559999465942383,26.940000534057617,0.443634033203125,26.876366,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
116,2012-12-11,27.049999237060547,27.31999969482422,0.3256359100341797,26.914364,0,2,0,2,2,2,2,2,0,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,0,2,2,2,2,1,2,2,2,2
117,2012-12-12,27.530000686645508,27.239999771118164,0.06433868408203125,27.045662,1,2,1,2,2,2,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,0,0,1,2,1,0,1,0,1,1,0,1,2,2,1,1,1,1,0,1,2,2,1,2,2,2,2
118,2012-12-13,27.31999969482422,27.110000610351562,-0.3879051208496094,27.197905,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,2012-12-14,27.110000610351562,26.809999465942383,-0.17275619506835938,27.272757,1,2,1,2,0,0,1,0,1,1,1,1,1,2,0,1,0,2,2,2,2,0,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,2,1,2,1
120,2012-12-17,26.790000915527344,27.100000381469727,0.3016853332519531,27.258314,0,2,0,2,2,2,2,2,0,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
121,2012-12-18,27.25,27.559999465942383,0.046024322509765625,27.263975,1,2,1,2,2,0,0,2,1,1,0,1,1,2,2,0,2,2,2,2,2,2,1,0,0,1,2,1,0,1,2,1,1,1,1,2,2,1,1,1,1,0,1,2,0,1,2,2,2,2
122,2012-12-19,27.690000534057617,27.309999465942383,0.3261547088623047,27.353846,1,2,0,2,2,2,2,2,2,0,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
123,2012-12-20,27.360000610351562,27.68000030517578,0.03512763977050781,27.414873,1,2,1,2,2,0,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,2,1,0,0,1,2,1,0,1,0,1,1,1,1,2,2,1,1,1,1,1,1,2,0,1,2,2,2,2
124,2012-12-21,27.450000762939453,27.450000762939453,-0.4407768249511719,27.500776,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
125,2012-12-24,27.200000762939453,27.059999465942383,-0.5144138336181641,27.374414,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
