,Unnamed: 0,date_time,open,close,delta_next_day,nextclose,prediction_0,prediction_2,prediction_4,prediction_6,prediction_8,prediction_10,prediction_12,prediction_14,prediction_16,prediction_18,prediction_20,prediction_22,prediction_24,prediction_26,prediction_28,prediction_30,prediction_32,prediction_34,prediction_36,prediction_38,prediction_40,prediction_42,prediction_44,prediction_46,prediction_48,Unnamed: 0,prediction_1,prediction_3,prediction_5,prediction_7,prediction_9,prediction_11,prediction_13,prediction_15,prediction_17,prediction_19,prediction_21,prediction_23,prediction_25,prediction_27,prediction_29,prediction_31,prediction_33,prediction_35,prediction_37,prediction_39,prediction_41,prediction_43,prediction_45,prediction_47,prediction_49
1038,1038,2016-08-10,58.15999984741211,58.02000045776367,0.6378097534179688,57.66219,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1038,2,2,2,2,2,1,0,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2
1039,1039,2016-08-11,58.02999877929688,58.29999923706055,0.1587066650390625,57.781292,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,0,2,2,1,2,2,2,2,2,1039,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2
1040,1040,2016-08-12,58.02999877929688,57.93999862670898,0.2247238159179687,57.895275,2,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1040,2,2,2,2,2,1,1,1,2,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2
1041,1041,2016-08-15,58.0099983215332,58.119998931884766,-0.3885993957519531,57.828598,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,0,2,1,1,2,2,2,1,1041,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,2
1042,1042,2016-08-16,57.61000061035156,57.43999862670898,-0.306549072265625,57.86655,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,0,2,2,2,1,1042,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2
1043,1043,2016-08-17,57.540000915527344,57.560001373291016,-0.0546379089355468,57.654636,2,2,1,2,1,1,1,0,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,0,1043,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,2,1,1,2
1044,1044,2016-08-18,57.41999816894531,57.59999847412109,0.0828857421875,57.537113,2,0,1,2,1,1,1,2,1,1,1,1,0,1,1,1,1,2,2,1,2,2,2,2,2,1044,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,1,1,2,2,1,0,2
1045,1045,2016-08-19,57.43000030517578,57.619998931884766,0.1840248107910156,57.485973,2,0,1,2,1,1,1,2,1,1,0,1,0,1,1,1,0,2,2,1,2,2,2,2,2,1045,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2
1046,1046,2016-08-22,57.59999847412109,57.66999816894531,0.4530792236328125,57.43692,2,2,1,2,1,1,1,2,1,1,2,1,2,1,0,1,2,2,2,1,2,2,2,2,2,1046,2,1,1,0,1,1,1,1,0,1,0,1,1,2,1,2,2,1,1,1,2,2,1,2,2
1047,1047,2016-08-23,57.900001525878906,57.88999938964844,0.5083084106445312,57.441692,2,2,1,2,1,1,1,2,1,0,2,1,2,1,2,1,2,2,2,1,2,2,2,2,2,1047,2,1,1,0,1,1,1,1,2,1,2,1,1,2,0,2,2,1,1,1,2,2,1,2,2
